Datetime,beaconid,realx,realy,edge_1,edge_2,edge_3,edge_8,edge_9,edge_10,edge_11,edge_12,edge_13
2018-09-18T20:03:38.000000Z,1,23.472000333333334,8.956333333333333,-68.33333333333333,-56.5,-48.75,-77.0,-67.66666666666667,-78.33333333333333,-91.0,-85.0,-89.0
2018-09-18T20:03:38.500000Z,1,23.699000666666667,8.870666666666667,-61.333333333333336,-60.666666666666664,-46.666666666666664,-79.5,-64.33333333333333,-64.0,-91.0,-85.0,-89.0
2018-09-18T20:03:39.000000Z,1,24.021501,8.44175,-60.0,-59.0,-48.0,-79.5,-64.0,-75.5,-96.0,-85.0,-68.0
2018-09-18T20:03:39.500000Z,1,24.117001000000002,8.0985,-65.0,-59.0,-48.0,-78.0,-68.0,-74.0,-96.0,-85.0,-85.0
2018-09-18T20:03:40.000000Z,1,24.212501,7.75525,-52.0,-60.5,-53.0,-73.0,-54.0,-74.0,-96.0,-85.0,-76.0
2018-09-18T20:03:40.500000Z,1,24.290334166666668,7.121666666666666,-54.0,-69.33333333333333,-53.0,-86.0,-69.66666666666667,-80.0,-96.0,-85.0,-83.0
2018-09-18T20:03:41.000000Z,1,24.272667333333334,6.831333333333333,-58.5,-64.0,-53.5,-86.0,-71.0,-77.5,-82.0,-85.0,-81.0
2018-09-18T20:03:41.500000Z,1,24.2550005,6.541,-60.75,-61.5,-65.0,-86.0,-66.5,-72.5,-80.0,-85.0,-73.0
2018-09-18T20:03:42.000000Z,1,24.237333666666668,6.250666666666667,-53.0,-53.5,-52.666666666666664,-86.0,-62.5,-68.0,-80.0,-85.0,-74.0
2018-09-18T20:03:42.500000Z,1,24.219666833333335,5.960333333333333,-53.333333333333336,-58.0,-48.0,-83.0,-58.0,-76.0,-80.0,-85.0,-77.5
2018-09-18T20:03:43.000000Z,1,24.0228335,5.519166666666667,-52.0,-48.0,-64.0,-83.0,-67.0,-74.0,-79.0,-79.0,-73.0
2018-09-18T20:03:43.500000Z,1,23.843667,5.368333333333333,-53.0,-63.0,-68.0,-83.0,-64.33333333333333,-79.0,-81.0,-81.0,-68.0
2018-09-18T20:03:44.000000Z,1,23.664500500000003,5.217499999999999,-57.0,-59.5,-67.5,-80.0,-75.5,-85.0,-81.0,-80.0,-72.0
2018-09-18T20:03:44.500000Z,1,23.485334,5.066666666666666,-45.333333333333336,-55.75,-70.0,-78.0,-66.4,-76.5,-81.0,-80.0,-79.5
2018-09-18T20:03:45.000000Z,1,23.3061675,4.9158333333333335,-49.5,-52.0,-66.5,-78.0,-75.25,-78.0,-81.0,-80.0,-76.0
2018-09-18T20:03:45.500000Z,1,22.677600599999998,4.7867999999999995,-44.0,-69.25,-57.666666666666664,-83.0,-66.25,-72.5,-83.5,-80.0,-74.5
2018-09-18T20:03:46.000000Z,1,22.2282002,4.808599999999999,-65.33333333333333,-63.5,-60.0,-76.5,-70.33333333333333,-69.0,-79.0,-95.0,-80.5
2018-09-18T20:03:46.500000Z,1,21.778799799999998,4.8304,-45.5,-71.5,-69.66666666666667,-81.0,-62.5,-80.0,-79.0,-95.0,-80.5
2018-09-18T20:03:47.000000Z,1,21.3293994,4.8522,-49.0,-57.25,-56.4,-81.0,-73.75,-80.75,-79.0,-95.0,-72.0
2018-09-18T20:03:47.500000Z,1,20.7731994,4.9525999999999994,-45.666666666666664,-60.5,-61.5,-77.0,-71.0,-76.0,-79.0,-80.66666666666667,-73.0
2018-09-18T20:03:48.000000Z,1,20.6663998,5.0312,-53.0,-61.75,-64.66666666666667,-81.0,-64.5,-78.0,-79.0,-75.0,-73.0
2018-09-18T20:03:48.500000Z,1,20.5596002,5.1098,-45.0,-61.5,-60.5,-81.0,-61.25,-77.0,-79.0,-82.5,-70.0
2018-09-18T20:03:49.000000Z,1,20.4528006,5.188400000000001,-60.0,-65.33333333333333,-61.0,-76.0,-65.0,-77.0,-79.0,-82.5,-74.33333333333333
2018-09-18T20:03:49.500000Z,1,20.356334333333336,4.9935,-59.0,-68.0,-72.0,-76.0,-61.75,-77.0,-79.0,-82.5,-74.33333333333333
2018-09-18T20:03:50.000000Z,1,20.366667666666668,4.720000000000001,-72.0,-68.33333333333333,-69.5,-76.0,-61.5,-81.0,-75.0,-82.5,-67.0
2018-09-18T20:03:50.500000Z,1,20.377001,4.4465,-82.5,-67.0,-77.0,-76.0,-55.5,-79.66666666666667,-83.5,-83.0,-76.5
2018-09-18T20:03:51.000000Z,1,20.387334333333335,4.173,-80.0,-74.5,-75.0,-76.0,-63.25,-89.5,-78.0,-72.0,-91.0
2018-09-18T20:03:51.500000Z,1,20.39766766666667,3.8994999999999997,-69.0,-80.0,-73.33333333333333,-76.0,-57.0,-75.5,-73.0,-72.0,-77.0
2018-09-18T20:03:52.000000Z,1,20.189834333333337,3.577166666666667,-77.0,-71.33333333333333,-77.0,-83.0,-57.0,-65.0,-73.0,-84.0,-69.0
2018-09-18T20:03:52.500000Z,1,19.97166766666667,3.5283333333333333,-73.66666666666667,-71.33333333333333,-72.0,-83.0,-60.333333333333336,-65.0,-73.0,-85.0,-69.0
2018-09-18T20:03:53.000000Z,1,19.753501,3.4795,-74.5,-68.0,-84.0,-70.0,-70.2,-73.0,-86.0,-77.0,-69.0
2018-09-18T20:03:53.500000Z,1,19.535334333333335,3.4306666666666668,-76.0,-68.33333333333333,-75.0,-86.0,-72.25,-73.25,-74.0,-76.0,-63.5
2018-09-18T20:03:54.000000Z,1,19.31716766666667,3.3818333333333337,-72.0,-82.5,-77.0,-76.0,-72.66666666666667,-72.8,-87.0,-70.0,-74.66666666666667
2018-09-18T20:03:54.500000Z,1,18.75000066666667,3.3390000000000004,-70.5,-84.0,-84.0,-75.0,-73.5,-65.0,-84.0,-85.0,-73.5
2018-09-18T20:03:55.000000Z,1,18.401000333333332,3.345,-76.0,-84.0,-80.0,-75.0,-74.0,-72.0,-84.0,-66.0,-69.5
2018-09-18T20:03:55.500000Z,1,18.052,3.351,-73.0,-80.5,-81.0,-75.0,-78.0,-69.5,-72.0,-78.0,-71.0
2018-09-18T20:03:56.000000Z,1,17.702999666666667,3.357,-73.0,-75.5,-79.0,-71.0,-69.5,-77.66666666666667,-75.0,-78.0,-92.0
2018-09-18T20:03:56.500000Z,1,17.35399933333333,3.3630000000000004,-65.0,-75.0,-83.0,-90.0,-79.0,-64.5,-75.0,-78.0,-92.0
2018-09-18T20:03:57.000000Z,1,16.689665833333333,3.3908333333333336,-67.0,-74.0,-80.5,-67.0,-77.0,-70.0,-75.0,-73.0,-77.0
2018-09-18T20:03:57.500000Z,1,16.374332666666664,3.412666666666667,-90.0,-73.0,-71.5,-67.0,-86.0,-70.0,-75.0,-73.0,-74.0
2018-09-18T20:03:58.000000Z,1,16.0589995,3.4345,-67.0,-76.33333333333333,-75.33333333333333,-80.0,-85.5,-63.25,-81.5,-76.0,-61.5
2018-09-18T20:03:58.500000Z,1,15.743666333333332,3.4563333333333333,-76.0,-84.5,-86.33333333333333,-80.0,-84.0,-60.0,-81.5,-76.0,-61.5
2018-09-18T20:03:59.000000Z,1,15.428333166666667,3.4781666666666666,-76.0,-77.0,-85.0,-76.0,-80.0,-77.33333333333333,-81.5,-75.0,-84.0
2018-09-18T20:03:59.500000Z,1,14.822375,3.58875,-76.0,-79.0,-85.0,-76.0,-75.0,-61.25,-87.0,-64.0,-71.0
2018-09-18T20:04:00.000000Z,1,14.531749999999999,3.6775,-77.0,-75.33333333333333,-95.0,-82.0,-85.5,-60.333333333333336,-82.0,-69.0,-71.0
2018-09-18T20:04:00.500000Z,1,14.241125,3.76625,-77.0,-85.0,-95.0,-76.0,-81.25,-50.0,-82.0,-69.0,-66.5
2018-09-18T20:04:01.000000Z,1,13.9505,3.855,-73.0,-78.0,-95.0,-71.0,-74.5,-62.5,-73.0,-69.0,-68.5
2018-09-18T20:04:01.500000Z,1,13.659875,3.94375,-73.0,-78.0,-88.5,-71.0,-80.0,-71.5,-73.0,-63.5,-61.0
2018-09-18T20:04:02.000000Z,1,13.369250000000001,4.0325,-73.0,-76.0,-79.5,-78.0,-71.0,-67.5,-75.0,-70.0,-61.0
2018-09-18T20:04:02.500000Z,1,13.078625,4.12125,-89.0,-81.0,-77.0,-72.0,-92.0,-71.0,-75.0,-74.0,-76.25
2018-09-18T20:04:03.000000Z,1,12.480333333333334,4.189,-89.0,-81.0,-77.0,-79.0,-98.0,-65.0,-70.0,-74.0,-84.0
2018-09-18T20:04:03.500000Z,1,12.172666666666666,4.168,-89.0,-78.0,-77.0,-82.5,-98.0,-74.0,-79.0,-89.0,-83.0
2018-09-18T20:04:04.000000Z,1,11.865,4.147,-89.0,-78.0,-77.0,-68.0,-98.0,-68.0,-65.0,-89.0,-72.0
2018-09-18T20:04:04.500000Z,1,11.557333333333334,4.1259999999999994,-88.0,-78.0,-77.0,-66.5,-98.0,-62.0,-70.66666666666667,-70.0,-81.5
2018-09-18T20:04:05.000000Z,1,11.249666666666666,4.1049999999999995,-83.66666666666667,-86.0,-91.0,-64.0,-98.0,-68.66666666666667,-68.0,-75.5,-78.66666666666667
2018-09-18T20:04:05.500000Z,1,10.6935,4.120333333333333,-91.0,-82.0,-78.0,-77.5,-89.0,-75.0,-77.0,-89.0,-88.0
2018-09-18T20:04:06.000000Z,1,10.445,4.156666666666666,-92.0,-82.0,-78.0,-75.0,-87.0,-75.0,-77.0,-59.0,-77.33333333333333
2018-09-18T20:04:06.500000Z,1,10.1965,4.193,-92.0,-83.0,-88.5,-72.0,-83.75,-74.0,-60.5,-72.0,-83.0
2018-09-18T20:04:07.000000Z,1,9.948,4.229333333333333,-77.0,-83.0,-86.0,-74.33333333333333,-83.75,-68.33333333333333,-76.0,-67.0,-78.66666666666667
2018-09-18T20:04:07.500000Z,1,9.6995,4.265666666666666,-91.0,-83.0,-88.0,-75.5,-92.0,-77.5,-63.0,-66.5,-78.0
2018-09-18T20:04:08.000000Z,1,9.1605,4.281666666666666,-86.5,-83.0,-78.0,-75.5,-89.0,-83.0,-74.33333333333333,-65.0,-78.0
2018-09-18T20:04:08.500000Z,1,8.870000000000001,4.261333333333333,-86.5,-83.0,-85.0,-65.0,-89.0,-89.0,-61.0,-80.0,-81.5
2018-09-18T20:04:09.000000Z,1,8.5795,4.241,-86.5,-83.0,-87.5,-73.0,-89.0,-89.0,-61.0,-80.0,-81.5
2018-09-18T20:04:09.500000Z,1,8.289,4.220666666666666,-78.0,-83.0,-80.0,-71.0,-94.0,-89.0,-62.0,-72.0,-71.0
2018-09-18T20:04:10.000000Z,1,7.9985,4.200333333333333,-78.0,-79.0,-88.5,-71.0,-94.0,-89.0,-69.0,-77.0,-71.0
2018-09-18T20:04:10.500000Z,1,7.421,4.082333333333333,-78.0,-79.0,-88.5,-79.0,-94.0,-74.5,-69.0,-77.0,-71.0
2018-09-18T20:04:11.000000Z,1,7.134,3.9846666666666666,-98.0,-79.0,-88.5,-69.0,-94.0,-75.5,-63.0,-77.0,-85.0
2018-09-18T20:04:11.500000Z,1,6.8469999999999995,3.8869999999999996,-98.0,-95.0,-87.0,-78.0,-94.0,-74.0,-61.0,-82.0,-85.0
2018-09-18T20:04:12.000000Z,1,6.56,3.789333333333333,-98.0,-95.0,-87.0,-79.5,-94.0,-74.0,-69.0,-79.0,-78.0
2018-09-18T20:04:12.500000Z,1,6.273,3.6916666666666664,-98.0,-81.0,-82.0,-67.0,-80.0,-91.0,-79.0,-68.0,-78.0
2018-09-18T20:04:13.000000Z,1,5.7032,3.5826,-98.0,-91.0,-82.0,-67.0,-80.0,-74.0,-67.0,-68.0,-84.0
2018-09-18T20:04:13.500000Z,1,5.4204,3.5711999999999997,-98.0,-84.0,-82.0,-64.5,-80.0,-78.5,-67.0,-79.5,-84.0
2018-09-18T20:04:14.000000Z,1,5.1376,3.5598,-98.0,-84.0,-82.0,-82.5,-91.5,-84.0,-67.0,-79.5,-89.5
2018-09-18T20:04:14.500000Z,1,4.8548,3.5484,-91.0,-84.0,-82.0,-76.0,-79.0,-84.0,-60.0,-80.0,-74.0
2018-09-18T20:04:15.000000Z,1,4.2604,3.5423999999999998,-91.0,-86.0,-82.0,-76.0,-84.0,-84.0,-63.5,-80.0,-92.0
2018-09-18T20:04:15.500000Z,1,3.9488,3.5478,-86.33333333333333,-86.0,-82.0,-76.0,-84.0,-88.0,-53.5,-82.5,-92.5
2018-09-18T20:04:16.000000Z,1,3.6372,3.5532,-86.33333333333333,-86.0,-82.0,-71.0,-84.0,-83.66666666666667,-56.5,-79.0,-80.0
2018-09-18T20:04:16.500000Z,1,3.3255999999999997,3.5586,-86.33333333333333,-86.0,-82.0,-77.5,-94.0,-74.0,-60.666666666666664,-75.0,-80.0
2018-09-18T20:04:17.000000Z,1,2.7474,3.5562,-77.0,-86.0,-78.0,-70.5,-81.0,-74.0,-62.0,-70.0,-80.0
2018-09-18T20:04:17.500000Z,1,2.4808,3.5484,-77.0,-84.0,-81.0,-70.5,-81.0,-75.0,-60.333333333333336,-72.0,-90.0
2018-09-18T20:04:18.000000Z,1,2.2142,3.5406,-90.0,-84.0,-79.0,-70.0,-89.0,-75.0,-61.0,-75.0,-87.0
2018-09-18T20:04:18.500000Z,1,1.9476,3.5328,-83.5,-84.0,-75.0,-70.0,-86.5,-77.0,-62.0,-76.0,-87.0
2018-09-18T20:04:19.000000Z,1,1.301,3.525333333333333,-86.0,-83.0,-88.0,-78.0,-81.0,-75.0,-65.0,-80.0,-87.0
2018-09-18T20:04:19.500000Z,1,0.9209999999999999,3.5256666666666665,-86.0,-83.0,-85.5,-78.0,-81.0,-75.0,-67.0,-84.0,-84.5
2018-09-18T20:04:20.000000Z,1,0.5468571428571429,3.905142857142857,-88.5,-83.0,-84.5,-61.0,-81.0,-81.5,-60.5,-76.5,-84.5
2018-09-18T20:04:20.500000Z,1,0.5527142857142857,4.284285714285714,-88.5,-83.0,-84.5,-66.0,-84.5,-77.5,-69.5,-69.0,-84.5
2018-09-18T20:04:21.000000Z,1,0.5585714285714286,4.663428571428572,-81.5,-83.0,-87.0,-66.0,-84.5,-77.5,-71.0,-71.0,-83.0
2018-09-18T20:04:21.500000Z,1,0.5644285714285715,5.042571428571428,-82.0,-85.0,-85.0,-59.5,-83.0,-77.0,-64.0,-79.5,-84.0
2018-09-18T20:04:22.000000Z,1,0.5702857142857143,5.421714285714286,-82.0,-87.0,-85.0,-66.0,-83.0,-84.0,-65.5,-79.33333333333333,-83.5
2018-09-18T20:04:22.500000Z,1,0.5761428571428572,5.800857142857143,-92.0,-87.0,-85.0,-68.0,-83.0,-98.0,-57.0,-80.0,-83.5
2018-09-18T20:04:23.000000Z,1,0.5820000000000001,6.18,-86.0,-87.0,-88.0,-60.666666666666664,-83.0,-82.5,-70.0,-80.0,-93.0
2018-09-18T20:04:23.500000Z,1,0.5878571428571429,6.559142857142857,-86.0,-87.0,-88.0,-66.0,-83.0,-87.5,-71.66666666666667,-79.66666666666667,-81.0
2018-09-18T20:04:24.000000Z,1,0.5937142857142857,6.938285714285714,-86.0,-87.0,-88.0,-62.0,-83.0,-81.5,-68.5,-79.0,-85.5
